corner case,edge case,solution mean,distribution
0c0,0e,9.0,11: 11.11%;  10: 22.22%;  9: 33.33%;  8: 22.22%;  7: 11.11%
0c0,2e,11.333,13: 11.11%;  12: 33.33%;  11: 33.33%;  10: 22.22%
0c0,4e,11.778,13: 44.44%;  12: 22.22%;  11: 22.22%;  8: 11.11%
0c0,6e,12.889,14: 33.33%;  13: 44.44%;  12: 11.11%;  10: 11.11%
0c0,8e,12.667,14: 22.22%;  13: 33.33%;  12: 33.33%;  11: 11.11%
0c3,0e,12.889,14: 22.22%;  13: 44.44%;  12: 33.33%
0c3,2e,14.222,15: 44.44%;  14: 44.44%;  12: 11.11%
0c3,4e,15.0,16: 33.33%;  15: 44.44%;  14: 11.11%;  13: 11.11%
0c3,6e,13.889,15: 44.44%;  14: 22.22%;  13: 11.11%;  12: 22.22%
0c3,8e,14.222,15: 55.56%;  14: 11.11%;  13: 33.33%
0c4,0e,12.444,14: 11.11%;  13: 22.22%;  12: 66.67%
0c4,2e,13.556,15: 11.11%;  14: 33.33%;  13: 55.56%
0c4,4e,13.444,15: 11.11%;  14: 55.56%;  13: 11.11%;  12: 11.11%;  11: 11.11%
0c4,6e,13.778,15: 11.11%;  14: 55.56%;  13: 33.33%
0c4,8e,14.111,15: 22.22%;  14: 66.67%;  13: 11.11%
2c3,0e,13.556,15: 11.11%;  14: 44.44%;  13: 33.33%;  12: 11.11%
2c3,2e,12.222,13: 44.44%;  12: 33.33%;  11: 22.22%
2c3,4e,12.889,14: 22.22%;  13: 55.56%;  12: 11.11%;  11: 11.11%
2c3,6e,13.333,14: 33.33%;  13: 66.67%
2c3,8e,13.444,15: 22.22%;  14: 22.22%;  13: 33.33%;  12: 22.22%
2c4,0e,12.889,14: 33.33%;  13: 33.33%;  12: 22.22%;  11: 11.11%
2c4,2e,14.111,15: 11.11%;  14: 88.89%
2c4,4e,13.667,15: 11.11%;  14: 55.56%;  13: 22.22%;  12: 11.11%
2c4,6e,13.778,15: 11.11%;  14: 55.56%;  13: 33.33%
2c4,8e,13.778,15: 22.22%;  14: 44.44%;  13: 22.22%;  12: 11.11%
2c5,0e,14.111,15: 33.33%;  14: 44.44%;  13: 22.22%
2c5,2e,14.333,15: 44.44%;  14: 44.44%;  13: 11.11%
2c5,4e,14.556,16: 11.11%;  15: 44.44%;  14: 33.33%;  13: 11.11%
2c5,6e,14.222,15: 44.44%;  14: 33.33%;  13: 22.22%
2c5,8e,15.0,16: 22.22%;  15: 55.56%;  14: 22.22%
4a1,0e,13.222,15: 11.11%;  14: 33.33%;  13: 33.33%;  12: 11.11%;  11: 11.11%
4a1,2e,13.0,14: 22.22%;  13: 66.67%;  11: 11.11%
4a1,4e,12.222,13: 55.56%;  12: 11.11%;  11: 33.33%
4a1,6e,12.333,13: 44.44%;  12: 44.44%;  11: 11.11%
4a1,8e,12.778,13: 77.78%;  12: 22.22%
4a2,0e,13.889,15: 22.22%;  14: 44.44%;  13: 33.33%
4a2,2e,13.444,15: 11.11%;  14: 55.56%;  13: 11.11%;  12: 11.11%;  11: 11.11%
4a2,4e,12.889,15: 11.11%;  14: 11.11%;  13: 33.33%;  12: 44.44%
4a2,6e,13.556,14: 55.56%;  13: 44.44%
4a2,8e,13.444,15: 11.11%;  14: 33.33%;  13: 44.44%;  12: 11.11%
4a3,0e,13.667,14: 66.67%;  13: 33.33%
4a3,2e,13.444,15: 11.11%;  14: 33.33%;  13: 44.44%;  12: 11.11%
4a3,4e,13.778,15: 11.11%;  14: 55.56%;  13: 33.33%
4a3,6e,13.778,15: 22.22%;  14: 33.33%;  13: 44.44%
4a3,8e,13.667,15: 11.11%;  14: 44.44%;  13: 44.44%
4a4,0e,14.333,15: 33.33%;  14: 66.67%
4a4,2e,14.222,16: 11.11%;  15: 22.22%;  14: 44.44%;  13: 22.22%
4a4,4e,14.556,16: 22.22%;  15: 22.22%;  14: 44.44%;  13: 11.11%
4a4,6e,14.778,16: 11.11%;  15: 66.67%;  14: 11.11%;  13: 11.11%
4a4,8e,15.111,16: 22.22%;  15: 66.67%;  14: 11.11%
4b2,0e,13.111,14: 33.33%;  13: 44.44%;  12: 22.22%
4b2,2e,12.667,14: 11.11%;  13: 55.56%;  12: 22.22%;  11: 11.11%
4b2,4e,12.667,14: 22.22%;  13: 33.33%;  12: 33.33%;  11: 11.11%
4b2,6e,13.111,14: 22.22%;  13: 66.67%;  12: 11.11%
4b2,8e,13.0,14: 22.22%;  13: 55.56%;  12: 22.22%
4b3,0e,13.333,15: 11.11%;  14: 33.33%;  13: 33.33%;  12: 22.22%
4b3,2e,13.778,15: 22.22%;  14: 44.44%;  13: 22.22%;  12: 11.11%
4b3,4e,13.778,15: 11.11%;  14: 66.67%;  13: 11.11%;  12: 11.11%
4b3,6e,13.556,15: 11.11%;  14: 55.56%;  13: 11.11%;  12: 22.22%
4b3,8e,13.667,15: 11.11%;  14: 44.44%;  13: 44.44%
4b4,0e,14.556,15: 55.56%;  14: 44.44%
4b4,2e,14.556,15: 55.56%;  14: 44.44%
4b4,4e,14.333,15: 44.44%;  14: 44.44%;  13: 11.11%
4b4,6e,14.556,15: 55.56%;  14: 44.44%
4b4,8e,14.333,16: 11.11%;  15: 22.22%;  14: 55.56%;  13: 11.11%
4b5,0e,14.222,15: 22.22%;  14: 77.78%
4b5,2e,13.778,15: 11.11%;  14: 55.56%;  13: 33.33%
4b5,4e,14.0,15: 11.11%;  14: 77.78%;  13: 11.11%
4b5,6e,14.111,15: 33.33%;  14: 44.44%;  13: 22.22%
4b5,8e,14.556,16: 11.11%;  15: 33.33%;  14: 55.56%
