corner case,edge case,solution mean,distribution
0c0,0e,9.242,12: 2.02%;  11: 13.13%;  10: 31.31%;  9: 29.29%;  8: 13.13%;  7: 7.07%;  6: 4.04%
0c0,2e,11.626,14: 1.01%;  13: 18.18%;  12: 39.39%;  11: 27.27%;  10: 13.13%;  8: 1.01%
0c0,4e,12.394,14: 9.09%;  13: 43.43%;  12: 30.3%;  11: 14.14%;  10: 2.02%;  8: 1.01%
0c0,6e,12.909,14: 24.24%;  13: 48.48%;  12: 22.22%;  11: 4.04%;  10: 1.01%
0c0,8e,12.545,14: 19.19%;  13: 37.37%;  12: 25.25%;  11: 15.15%;  10: 3.03%
0c3,0e,13.323,15: 9.09%;  14: 30.3%;  13: 46.46%;  12: 12.12%;  11: 2.02%
0c3,2e,14.293,16: 10.1%;  15: 32.32%;  14: 37.37%;  13: 17.17%;  12: 3.03%
0c3,4e,14.525,16: 13.13%;  15: 45.45%;  14: 23.23%;  13: 17.17%;  12: 1.01%
0c3,6e,14.263,16: 7.07%;  15: 33.33%;  14: 41.41%;  13: 15.15%;  12: 3.03%
0c3,8e,14.253,16: 7.07%;  15: 34.34%;  14: 40.4%;  13: 14.14%;  12: 3.03%;  11: 1.01%
0c4,0e,12.717,14: 14.14%;  13: 54.55%;  12: 22.22%;  11: 8.08%;  9: 1.01%
0c4,2e,13.576,15: 5.05%;  14: 55.56%;  13: 31.31%;  12: 8.08%
0c4,4e,13.737,15: 11.11%;  14: 54.55%;  13: 31.31%;  12: 3.03%
0c4,6e,14.101,15: 25.25%;  14: 60.61%;  13: 13.13%;  12: 1.01%
0c4,8e,14.273,16: 1.01%;  15: 40.4%;  14: 45.45%;  13: 11.11%;  12: 2.02%
2c3,0e,13.444,15: 6.06%;  14: 50.51%;  13: 27.27%;  12: 14.14%;  11: 2.02%
2c3,2e,12.505,14: 9.09%;  13: 49.49%;  12: 28.28%;  11: 9.09%;  10: 4.04%
2c3,4e,12.98,15: 1.01%;  14: 28.28%;  13: 44.44%;  12: 21.21%;  11: 4.04%;  10: 1.01%
2c3,6e,13.071,15: 4.04%;  14: 27.27%;  13: 46.46%;  12: 17.17%;  11: 4.04%;  10: 1.01%
2c3,8e,13.535,15: 6.06%;  14: 48.48%;  13: 38.38%;  12: 7.07%
2c4,0e,13.253,15: 12.12%;  14: 31.31%;  13: 32.32%;  12: 20.2%;  11: 2.02%;  10: 2.02%
2c4,2e,13.707,15: 16.16%;  14: 46.46%;  13: 29.29%;  12: 8.08%
2c4,4e,13.657,16: 1.01%;  15: 13.13%;  14: 46.46%;  13: 29.29%;  12: 10.1%
