corner case,edge case,solution mean,distribution
0c0,0e,9.54,12: 3.4%;  11: 18.62%;  10: 33.03%;  9: 25.43%;  8: 14.11%;  7: 4.0%;  6: 1.2%;  5: 0.2%
0c0,2e,11.762,14: 1.0%;  13: 20.92%;  12: 43.24%;  11: 25.13%;  10: 7.71%;  9: 1.8%;  8: 0.2%
0c0,4e,12.229,14: 5.61%;  13: 38.24%;  12: 37.24%;  11: 13.11%;  10: 4.3%;  9: 1.2%;  8: 0.3%
0c0,6e,12.907,15: 0.5%;  14: 23.02%;  13: 49.55%;  12: 21.52%;  11: 4.5%;  10: 0.8%;  9: 0.1%
0c0,8e,12.687,16: 0.1%;  15: 1.0%;  14: 21.52%;  13: 37.34%;  12: 28.23%;  11: 9.11%;  10: 2.3%;  9: 0.3%;  7: 0.1%
0c3,0e,13.33,15: 8.51%;  14: 34.73%;  13: 40.44%;  12: 14.01%;  11: 2.2%;  10: 0.1%
0c3,2e,14.304,16: 5.11%;  15: 41.74%;  14: 35.84%;  13: 13.91%;  12: 2.7%;  11: 0.6%;  10: 0.1%
0c3,4e,14.66,17: 0.1%;  16: 11.31%;  15: 53.05%;  14: 27.73%;  13: 5.71%;  12: 2.0%;  11: 0.1%
0c3,6e,14.307,16: 6.41%;  15: 41.34%;  14: 33.73%;  13: 14.31%;  12: 3.5%;  11: 0.7%
0c3,8e,14.109,16: 7.31%;  15: 29.93%;  14: 36.54%;  13: 19.72%;  12: 5.61%;  11: 0.9%
0c4,0e,12.634,15: 0.6%;  14: 11.31%;  13: 48.55%;  12: 30.83%;  11: 7.81%;  10: 0.9%
0c4,2e,13.519,15: 6.31%;  14: 49.35%;  13: 35.04%;  12: 8.51%;  11: 0.8%
0c4,4e,13.574,15: 9.31%;  14: 47.85%;  13: 34.83%;  12: 7.01%;  11: 0.9%;  10: 0.1%
0c4,6e,13.935,16: 0.1%;  15: 19.02%;  14: 58.46%;  13: 19.32%;  12: 2.9%;  11: 0.2%
0c4,8e,14.18,16: 1.6%;  15: 31.03%;  14: 52.55%;  13: 13.41%;  12: 1.4%
2c3,0e,13.364,15: 4.3%;  14: 43.14%;  13: 39.94%;  12: 10.21%;  11: 2.1%;  10: 0.3%
2c3,2e,12.618,15: 0.1%;  14: 14.31%;  13: 47.55%;  12: 26.63%;  11: 8.91%;  10: 1.9%;  9: 0.5%;  7: 0.1%
2c3,4e,12.967,15: 0.9%;  14: 25.13%;  13: 49.55%;  12: 19.62%;  11: 3.8%;  10: 1.0%
2c3,6e,13.231,15: 2.4%;  14: 37.94%;  13: 43.74%;  12: 12.91%;  11: 2.4%;  10: 0.5%;  9: 0.1%
2c3,8e,13.562,15: 8.61%;  14: 50.65%;  13: 30.73%;  12: 8.41%;  11: 1.5%;  10: 0.1%
2c4,0e,13.222,15: 6.11%;  14: 34.23%;  13: 40.94%;  12: 14.11%;  11: 3.9%;  10: 0.5%;  9: 0.2%
2c4,2e,13.539,16: 0.1%;  15: 10.51%;  14: 45.95%;  13: 32.03%;  12: 9.61%;  11: 1.6%;  10: 0.2%
2c4,4e,13.646,16: 0.2%;  15: 13.31%;  14: 49.05%;  13: 28.13%;  12: 7.31%;  11: 1.7%;  10: 0.2%;  9: 0.1%
2c4,6e,13.711,16: 0.3%;  15: 16.22%;  14: 48.35%;  13: 26.63%;  12: 6.71%;  11: 1.5%;  10: 0.3%
2c4,8e,14.005,16: 1.8%;  15: 25.53%;  14: 49.85%;  13: 18.12%;  12: 3.7%;  11: 0.9%;  10: 0.1%
2c5,0e,14.29,17: 0.1%;  16: 4.7%;  15: 36.74%;  14: 43.14%;  13: 13.51%;  12: 1.6%;  11: 0.1%;  10: 0.1%
2c5,2e,14.364,16: 4.5%;  15: 41.84%;  14: 41.24%;  13: 10.71%;  12: 1.4%;  11: 0.3%
2c5,4e,14.441,17: 0.2%;  16: 5.21%;  15: 46.25%;  14: 37.54%;  13: 8.61%;  12: 2.1%;  11: 0.1%
2c5,6e,14.46,17: 0.2%;  16: 7.41%;  15: 42.44%;  14: 39.14%;  13: 9.91%;  12: 0.8%;  11: 0.1%
2c5,8e,14.456,17: 0.3%;  16: 5.91%;  15: 45.25%;  14: 38.34%;  13: 8.21%;  12: 1.9%;  11: 0.1%
4a1,0e,13.041,15: 1.4%;  14: 29.93%;  13: 46.35%;  12: 16.92%;  11: 4.5%;  10: 0.9%
4a1,2e,12.609,15: 0.3%;  14: 14.21%;  13: 45.05%;  12: 29.93%;  11: 8.11%;  10: 1.8%;  9: 0.6%
4a1,4e,12.059,15: 0.1%;  14: 7.21%;  13: 33.13%;  12: 32.63%;  11: 16.42%;  10: 7.11%;  9: 2.6%;  8: 0.6%;  7: 0.1%;  6: 0.1%
4a1,6e,12.593,14: 12.21%;  13: 47.45%;  12: 30.23%;  11: 8.01%;  10: 1.7%;  9: 0.4%
4a1,8e,12.974,15: 1.4%;  14: 26.53%;  13: 47.15%;  12: 19.42%;  11: 4.2%;  10: 1.1%;  9: 0.2%
4a2,0e,13.937,16: 0.8%;  15: 24.62%;  14: 48.65%;  13: 20.52%;  12: 4.4%;  11: 0.8%;  10: 0.2%
4a2,2e,13.64,16: 0.2%;  15: 14.01%;  14: 45.95%;  13: 30.43%;  12: 8.21%;  11: 1.2%
4a2,4e,13.067,15: 5.01%;  14: 31.43%;  13: 38.74%;  12: 17.52%;  11: 5.41%;  10: 1.3%;  9: 0.5%;  8: 0.1%
4a2,6e,13.612,16: 0.3%;  15: 14.21%;  14: 44.54%;  13: 29.23%;  12: 10.71%;  11: 1.0%
4a2,8e,13.915,16: 1.6%;  15: 21.82%;  14: 48.65%;  13: 23.12%;  12: 4.2%;  11: 0.4%;  10: 0.2%
4a3,0e,13.306,15: 6.01%;  14: 40.54%;  13: 36.04%;  12: 13.81%;  11: 2.9%;  10: 0.5%;  9: 0.2%
4a3,2e,13.559,16: 0.2%;  15: 9.61%;  14: 48.35%;  13: 31.73%;  12: 8.01%;  11: 2.0%;  10: 0.1%
4a3,4e,13.49,15: 9.51%;  14: 45.65%;  13: 32.13%;  12: 10.01%;  11: 2.5%;  10: 0.2%
4a3,6e,13.507,15: 8.31%;  14: 47.55%;  13: 32.83%;  12: 9.31%;  11: 1.8%;  10: 0.2%
4a3,8e,13.329,15: 5.81%;  14: 40.64%;  13: 37.84%;  12: 12.71%;  11: 2.4%;  10: 0.6%
4a4,0e,14.562,16: 6.81%;  15: 51.05%;  14: 35.04%;  13: 5.71%;  12: 1.4%
4a4,2e,14.403,16: 2.8%;  15: 45.55%;  14: 42.14%;  13: 8.31%;  12: 1.1%;  11: 0.1%
4a4,4e,14.367,16: 3.1%;  15: 44.64%;  14: 39.44%;  13: 11.71%;  12: 0.9%;  11: 0.2%
4a4,6e,14.443,16: 3.9%;  15: 47.85%;  14: 39.14%;  13: 7.01%;  12: 2.0%;  11: 0.1%
4a4,8e,14.511,16: 6.51%;  15: 49.45%;  14: 34.13%;  13: 8.61%;  12: 1.2%;  10: 0.1%
4b2,0e,12.878,15: 0.7%;  14: 23.72%;  13: 46.65%;  12: 22.02%;  11: 5.41%;  10: 1.5%
4b2,2e,12.621,14: 14.01%;  13: 47.35%;  12: 28.63%;  11: 7.41%;  10: 1.9%;  9: 0.7%
4b2,4e,12.736,15: 0.3%;  14: 18.22%;  13: 47.45%;  12: 24.82%;  11: 7.41%;  10: 1.6%;  9: 0.2%
4b2,6e,12.592,15: 0.2%;  14: 15.32%;  13: 43.84%;  12: 28.43%;  11: 9.11%;  10: 2.5%;  9: 0.6%
4b2,8e,12.83,15: 0.7%;  14: 23.32%;  13: 43.44%;  12: 24.62%;  11: 6.71%;  10: 1.1%;  9: 0.1%
